epoch,step,train_discriminator_accuracy,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
149,3299,0.75,1.1503455638885498,1.1842020750045776,,,
149,3299,,,,0.5714285714285714,1.3287009000778198,1.2700507640838623
150,3321,,,,0.7,1.2620126008987427,0.7092514038085938
151,3343,,,,0.7857142857142857,1.1727159023284912,0.7967633605003357
152,3349,0.8125,1.1626191139221191,0.76641845703125,,,
152,3365,,,,0.5714285714285714,1.2698981761932373,0.6123564839363098
153,3387,,,,0.7285714285714285,1.1384296417236328,0.9428078532218933
154,3399,0.8125,1.0156986713409424,1.0310605764389038,,,
154,3409,,,,0.7714285714285715,1.149217963218689,0.7276714444160461
155,3431,,,,0.6285714285714286,1.2701730728149414,0.7608696818351746
156,3449,0.84375,1.1834447383880615,0.8140425682067871,,,
156,3453,,,,0.8428571428571429,1.098068118095398,0.7738135457038879
157,3475,,,,0.5285714285714286,1.3093297481536865,0.5236057639122009
158,3497,,,,0.6571428571428571,1.2934890985488892,0.729760468006134
159,3499,0.84375,1.1231142282485962,0.9398860335350037,,,
159,3519,,,,0.6857142857142857,1.2139437198638916,0.6638777852058411
160,3541,,,,0.8571428571428571,1.0862747430801392,0.8962074518203735
161,3549,0.5,1.382311463356018,0.7466144561767578,,,
161,3563,,,,0.5142857142857142,1.3565500974655151,0.4789036214351654
162,3585,,,,0.7857142857142857,1.1674692630767822,0.725695013999939
163,3599,0.96875,0.6290213465690613,0.9992561936378479,,,
163,3607,,,,0.6285714285714286,1.2414401769638062,0.7241868376731873
164,3629,,,,0.6857142857142857,1.145821213722229,0.8368499279022217
165,3649,0.78125,1.0809468030929565,0.8568415641784668,,,
165,3651,,,,0.6571428571428571,1.233342170715332,0.7427811622619629
166,3673,,,,0.6714285714285714,1.199813961982727,0.7094512581825256
167,3695,,,,0.5714285714285714,1.3389886617660522,0.5770166516304016
168,3699,0.6875,1.221059799194336,1.0487215518951416,,,
168,3717,,,,0.7857142857142857,1.1160658597946167,0.830579936504364
169,3739,,,,0.6857142857142857,1.2486340999603271,0.6156112551689148
170,3749,0.875,1.085523247718811,0.8590147495269775,,,
170,3761,,,,0.5571428571428572,1.255463719367981,0.6186754703521729
171,3783,,,,0.8285714285714286,1.0895546674728394,1.0232740640640259
172,3799,0.78125,1.1592060327529907,0.8028733730316162,,,
172,3805,,,,0.6714285714285714,1.2809147834777832,0.8099464774131775
173,3827,,,,0.7571428571428571,1.1129708290100098,0.7370800375938416
174,3849,0.6071428571428571,1.3296186923980713,0.9918667674064636,,,
174,3849,,,,0.7857142857142857,1.1260480880737305,0.6474531888961792
175,3871,,,,0.7714285714285715,1.1287487745285034,0.7950176000595093
176,3893,,,,0.5714285714285714,1.2616535425186157,0.6097427010536194
177,3899,0.84375,1.0484952926635742,0.9231072664260864,,,
177,3915,,,,0.6857142857142857,1.2601875066757202,0.7211202383041382
178,3937,,,,0.8,1.042284607887268,0.9465742707252502
179,3949,0.84375,1.1467589139938354,0.6559010744094849,,,
179,3959,,,,0.6714285714285714,1.2960346937179565,0.7317408919334412
180,3981,,,,0.7714285714285715,1.126982569694519,1.0881931781768799
181,3999,0.8125,1.1241540908813477,0.893925666809082,,,
181,4003,,,,0.8142857142857143,1.1479321718215942,0.7974418997764587
182,4025,,,,0.7428571428571429,1.2306766510009766,0.7975460290908813
183,4047,,,,0.8428571428571429,1.1143162250518799,0.9164069890975952
184,4049,0.875,1.0059263706207275,0.8475680351257324,,,
184,4069,,,,0.8,1.156227469444275,0.7736190557479858
185,4091,,,,0.7571428571428571,1.1941888332366943,0.9760130643844604
186,4099,0.625,1.3220709562301636,1.0231221914291382,,,
186,4113,,,,0.6571428571428571,1.2135059833526611,0.6927585005760193
187,4135,,,,0.7571428571428571,1.2933553457260132,1.0062017440795898
188,4149,0.84375,1.1435314416885376,1.0202946662902832,,,
188,4157,,,,0.6714285714285714,1.2740060091018677,0.7924121022224426
189,4179,,,,0.7857142857142857,1.1774300336837769,0.7586953639984131
190,4199,0.75,1.1470379829406738,1.0411521196365356,,,
190,4201,,,,0.5857142857142857,1.3296334743499756,0.7233741283416748
191,4223,,,,0.6285714285714286,1.2667137384414673,0.5799970030784607
192,4245,,,,0.6285714285714286,1.2868088483810425,0.6849544644355774
193,4249,0.90625,1.0955811738967896,0.7300003170967102,,,
193,4267,,,,0.6142857142857143,1.2978407144546509,0.9237890243530273
194,4289,,,,0.7857142857142857,1.1583367586135864,0.8286190629005432
195,4299,0.71875,1.1507419347763062,1.1610400676727295,,,
195,4311,,,,0.6857142857142857,1.2332706451416016,0.6748371720314026
196,4333,,,,0.7428571428571429,1.1576685905456543,0.7968675494194031
197,4349,0.75,1.1216723918914795,1.1898281574249268,,,
197,4355,,,,0.4857142857142857,1.4328327178955078,0.4671681523323059
198,4377,,,,0.7857142857142857,1.0997027158737183,0.9000586271286011
199,4399,0.5357142857142857,1.2638028860092163,0.6263505220413208,,,
199,4399,,,,0.6142857142857143,1.2182743549346924,0.6624213457107544
200,4421,,,,0.8,1.2085508108139038,0.9187750816345215
201,4443,,,,0.7428571428571429,1.1854382753372192,0.7949128746986389
202,4449,0.75,1.1607189178466797,0.7930723428726196,,,
202,4465,,,,0.7142857142857143,1.2116706371307373,0.9592317938804626
203,4487,,,,0.7428571428571429,1.1375410556793213,1.0587923526763916
204,4499,0.5625,1.2154009342193604,1.1594724655151367,,,
204,4509,,,,0.6285714285714286,1.284018635749817,0.7673683166503906
205,4531,,,,0.6571428571428571,1.2334824800491333,0.7135941386222839
206,4549,0.71875,1.1541690826416016,0.760064959526062,,,
206,4553,,,,0.7142857142857143,1.2340871095657349,0.8560209274291992
207,4575,,,,0.7428571428571429,1.2312347888946533,0.9755207896232605
208,4597,,,,0.6857142857142857,1.2585328817367554,0.6991351246833801
209,4599,0.8125,1.0634117126464844,0.9488868117332458,,,
209,4619,,,,0.7428571428571429,1.1567856073379517,0.8938406705856323
210,4641,,,,0.6857142857142857,1.1766643524169922,0.7608808279037476
211,4649,0.6875,1.2109277248382568,0.8318982124328613,,,
211,4663,,,,0.5571428571428572,1.3253499269485474,0.5450625419616699
212,4685,,,,0.8142857142857143,1.1141902208328247,0.8207032084465027
213,4699,0.625,1.294947624206543,0.7475671768188477,,,
213,4707,,,,0.7285714285714285,1.2240570783615112,0.86865234375
214,4729,,,,0.5714285714285714,1.3236039876937866,0.7287609577178955
215,4749,0.71875,1.187314748764038,0.8647451400756836,,,
215,4751,,,,0.6571428571428571,1.1999696493148804,0.5428603291511536
216,4773,,,,0.5714285714285714,1.3165146112442017,0.5346469879150391
217,4795,,,,0.7285714285714285,1.1683427095413208,0.8400697708129883
218,4799,0.6875,1.2163200378417969,0.9053787589073181,,,
218,4817,,,,0.6,1.2509856224060059,0.7877305150032043
219,4839,,,,0.6285714285714286,1.2696514129638672,0.7162868976593018
220,4849,0.6875,1.2133976221084595,0.9131989479064941,,,
220,4861,,,,0.7571428571428571,1.1835120916366577,0.8608002662658691
221,4883,,,,0.6571428571428571,1.1828700304031372,0.8793278336524963
222,4899,0.9375,0.5713082551956177,0.9373229146003723,,,
222,4905,,,,0.5857142857142857,1.2527973651885986,0.6494854092597961
223,4927,,,,0.5857142857142857,1.3177779912948608,0.5200483202934265
224,4949,0.8214285714285714,1.0956575870513916,0.9303721785545349,,,
224,4949,,,,0.7,1.1963200569152832,0.8767256736755371
225,4971,,,,0.6857142857142857,1.2445436716079712,1.0679030418395996
226,4993,,,,0.6428571428571429,1.2113618850708008,1.0332938432693481
227,4999,0.78125,1.2052180767059326,0.9547522068023682,,,
227,5015,,,,0.6857142857142857,1.2171086072921753,1.0116103887557983
228,5037,,,,0.7714285714285715,1.0674444437026978,1.0367697477340698
229,5049,0.90625,1.113511562347412,0.8706381320953369,,,
229,5059,,,,0.7285714285714285,1.2228963375091553,0.8075222969055176
230,5081,,,,0.7571428571428571,1.1801352500915527,0.7235035300254822
231,5099,0.8125,1.0793874263763428,0.8424909710884094,,,
231,5103,,,,0.6142857142857143,1.2521610260009766,0.9535727500915527
232,5125,,,,0.7571428571428571,1.1358814239501953,0.8024126887321472
233,5147,,,,0.7142857142857143,1.1740550994873047,0.7815970182418823
234,5149,0.625,1.2290410995483398,1.0286126136779785,,,
234,5169,,,,0.6285714285714286,1.2077488899230957,1.0220451354980469
235,5191,,,,0.7142857142857143,1.1457058191299438,0.9806530475616455
236,5199,0.71875,1.1702531576156616,1.2227582931518555,,,
236,5213,,,,0.8142857142857143,1.148396611213684,0.708531379699707
237,5235,,,,0.7428571428571429,1.1153141260147095,1.080551266670227
238,5249,0.9375,0.6570521593093872,0.920548677444458,,,
238,5257,,,,0.7571428571428571,1.1696633100509644,0.907425045967102
239,5279,,,,0.6428571428571429,1.2201107740402222,0.7147802710533142
240,5299,0.625,1.209364414215088,0.9281283020973206,,,
240,5301,,,,0.7428571428571429,1.1292513608932495,0.9167121052742004
241,5323,,,,0.7571428571428571,1.1702845096588135,0.99968022108078
242,5345,,,,0.8,1.095884919166565,1.013917088508606
243,5349,0.8125,1.1302845478057861,0.8733751177787781,,,
243,5367,,,,0.7428571428571429,1.2467725276947021,0.7817671298980713
244,5389,,,,0.5857142857142857,1.2337843179702759,0.5087729096412659
245,5399,0.875,1.004559874534607,0.8334157466888428,,,
245,5411,,,,0.7285714285714285,1.129386305809021,0.7751213312149048
