epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
30,14049,1.2222285270690918,0.856472373008728,,,
30,14099,1.0439655780792236,0.9702250361442566,,,
30,14149,1.190489649772644,0.8810650110244751,,,
30,14199,1.0738804340362549,0.8974593877792358,,,
30,14249,1.2908542156219482,0.785802960395813,,,
30,14259,,,0.621924697566943,1.3141205310821533,0.8166724443435669
31,14299,1.3163323402404785,0.8832697868347168,,,
31,14349,1.0416898727416992,0.8204677104949951,,,
31,14399,1.1209921836853027,0.6628226637840271,,,
31,14449,1.1093487739562988,0.9430004358291626,,,
31,14499,1.3611884117126465,0.9218566417694092,,,
31,14549,0.9764717817306519,0.9823828935623169,,,
31,14599,1.099879264831543,0.9891136884689331,,,
31,14649,1.2042279243469238,0.8214542865753174,,,
31,14699,1.0056953430175781,0.9037796854972839,,,
31,14719,,,0.5384667663449776,1.34791898727417,0.7301942706108093
32,14749,0.9737425446510315,1.0917214155197144,,,
32,14799,1.0291671752929688,1.0747159719467163,,,
32,14849,1.0326478481292725,0.9632867574691772,,,
32,14899,1.0808665752410889,0.8957837820053101,,,
32,14949,1.0440114736557007,1.3387672901153564,,,
32,14999,1.1254526376724243,1.1213750839233398,,,
32,15049,1.0161422491073608,1.2031705379486084,,,
32,15099,1.1009900569915771,1.0020906925201416,,,
32,15149,1.1554560661315918,0.8273221850395203,,,
32,15179,,,0.5956232159847764,1.34560227394104,0.7801273465156555
33,15199,1.1633806228637695,0.9962065815925598,,,
33,15249,1.1222585439682007,1.0038280487060547,,,
33,15299,1.1531250476837158,0.7762396335601807,,,
33,15349,1.100649118423462,0.7700968980789185,,,
33,15399,1.379063606262207,0.7535228133201599,,,
33,15449,1.2213342189788818,0.7646844387054443,,,
33,15499,1.1009581089019775,0.7338573932647705,,,
33,15549,0.978036642074585,1.2864344120025635,,,
33,15599,1.0968676805496216,0.8528504967689514,,,
33,15639,,,0.5725839336686149,1.399161696434021,0.7186258435249329
34,15649,1.0854713916778564,1.046565294265747,,,
34,15699,1.0445425510406494,0.9756726026535034,,,
34,15749,1.3709096908569336,0.7391294240951538,,,
34,15799,1.0810630321502686,0.7715640068054199,,,
34,15849,0.8900787830352783,0.8872314691543579,,,
34,15899,0.997504472732544,1.2345552444458008,,,
34,15949,0.8637360334396362,1.049723744392395,,,
34,15999,1.0443617105484009,0.9338696002960205,,,
34,16049,1.1282413005828857,0.6864677667617798,,,
34,16099,1.117797613143921,1.0714994668960571,,,
34,16099,,,0.5831860812831318,1.3845417499542236,0.7853908538818359
35,16149,1.0634487867355347,1.1449792385101318,,,
35,16199,1.162996530532837,0.958425760269165,,,
35,16249,1.0817937850952148,0.8930611610412598,,,
35,16299,1.0455355644226074,1.1385388374328613,,,
35,16349,1.195241928100586,0.7850855588912964,,,
35,16399,1.1204380989074707,1.239316463470459,,,
35,16449,0.8647980690002441,1.1052215099334717,,,
35,16499,0.9265710711479187,0.9953548908233643,,,
35,16549,0.9339156150817871,0.9107979536056519,,,
35,16559,,,0.641633818132391,1.288353681564331,0.8390291333198547
36,16599,1.0553295612335205,0.9854859709739685,,,
36,16649,1.0954082012176514,1.012799859046936,,,
36,16699,1.0794594287872314,0.8872464895248413,,,
36,16749,0.9973015785217285,1.0647225379943848,,,
36,16799,0.9647030830383301,1.229201078414917,,,
36,16849,1.0907381772994995,1.2231720685958862,,,
36,16899,1.0153257846832275,1.1243840456008911,,,
36,16949,1.0183720588684082,0.9979825019836426,,,
36,16999,1.023733139038086,1.145188808441162,,,
36,17019,,,0.6272257713742014,1.2967549562454224,0.6717603206634521
37,17049,0.9771497845649719,0.9685584306716919,,,
37,17099,1.3658826351165771,1.1695075035095215,,,
37,17149,1.0004949569702148,1.1358377933502197,,,
37,17199,1.21627676486969,0.6824475526809692,,,
37,17249,1.088592767715454,0.8559479713439941,,,
37,17299,0.8195357918739319,1.3149747848510742,,,
37,17349,1.0203803777694702,1.2261196374893188,,,
37,17399,1.028266191482544,1.0730171203613281,,,
37,17449,0.859484851360321,1.008783221244812,,,
37,17479,,,0.4509990485252141,1.4442871809005737,0.6950513124465942
38,17499,0.9579242467880249,1.0701773166656494,,,
38,17549,0.9682665467262268,0.9957385063171387,,,
38,17599,1.2269368171691895,0.8328043818473816,,,
38,17649,0.8938805460929871,1.3585772514343262,,,
38,17699,1.0383580923080444,0.9999415874481201,,,
38,17749,1.1860241889953613,1.0518255233764648,,,
38,17799,0.9096210598945618,1.0311784744262695,,,
38,17849,1.1373082399368286,0.7899511456489563,,,
38,17899,0.8319819569587708,1.539427638053894,,,
38,17939,,,0.5025825744189207,1.367302417755127,0.6232643723487854
39,17949,0.7823925018310547,1.2190821170806885,,,
39,17999,1.0249247550964355,0.9639043807983398,,,
39,18049,0.8571364879608154,1.0047892332077026,,,
39,18099,1.0477584600448608,0.9546921253204346,,,
39,18149,1.0618044137954712,0.8052775859832764,,,
39,18199,1.2701681852340698,0.6935285925865173,,,
39,18249,1.4261441230773926,0.718210756778717,,,
39,18299,1.1308870315551758,0.6627482175827026,,,
39,18349,1.030961513519287,1.097335696220398,,,
39,18399,1.02864408493042,0.8945367932319641,,,
39,18399,,,0.5118934348239772,1.2309696674346924,0.757527232170105
40,18449,1.0181993246078491,0.7874352931976318,,,
40,18499,1.1253697872161865,0.7689052820205688,,,
40,18549,0.8546457290649414,1.1632357835769653,,,
40,18599,1.0756193399429321,0.8204188346862793,,,
40,18649,0.8427826166152954,1.3890132904052734,,,
40,18699,1.0902783870697021,0.8502250909805298,,,
40,18749,0.9765942096710205,0.9432675242424011,,,
40,18799,1.5022526979446411,1.1638219356536865,,,
40,18849,0.9009116888046265,0.9721063375473022,,,
40,18859,,,0.6249150468941145,1.336566686630249,0.8003888130187988
41,18899,1.016457438468933,1.1671077013015747,,,
41,18949,1.0051119327545166,1.3503217697143555,,,
41,18999,1.105344295501709,0.7923572063446045,,,
41,19049,1.3279491662979126,1.2622920274734497,,,
41,19099,1.0278828144073486,0.9605444669723511,,,
41,19149,1.0621763467788696,0.6167484521865845,,,
41,19199,1.1859116554260254,0.9905844330787659,,,
41,19249,1.242835521697998,0.7541847229003906,,,
41,19299,0.7678654789924622,1.1203243732452393,,,
41,19319,,,0.630080195731956,1.3058439493179321,0.7069980502128601
42,19349,0.897004246711731,0.8438446521759033,,,
42,19399,1.10670804977417,0.7649322748184204,,,
42,19449,0.8694522976875305,1.349153757095337,,,
42,19499,0.8785239458084106,1.3006417751312256,,,
42,19549,1.101308822631836,1.0096187591552734,,,
42,19599,0.9958466291427612,1.0279309749603271,,,
42,19649,0.9655214548110962,0.8473972082138062,,,
42,19699,1.1189242601394653,0.8121221661567688,,,
42,19749,0.8954127430915833,0.955527126789093,,,
42,19779,,,0.6457115672148974,1.2842907905578613,0.7001556158065796
43,19799,0.904416561126709,0.8053889870643616,,,
43,19849,1.1272964477539062,1.0312671661376953,,,
43,19899,1.0231564044952393,1.029353380203247,,,
43,19949,1.1096407175064087,0.7161637544631958,,,
43,19999,0.9148674607276917,1.2836799621582031,,,
43,20049,0.7833929657936096,1.3172187805175781,,,
43,20099,1.2007026672363281,0.8083878755569458,,,
43,20149,1.1979317665100098,0.7830411195755005,,,
43,20199,1.023295283317566,0.7471286058425903,,,
43,20239,,,0.6482941416338182,1.363486647605896,0.7266066074371338
44,20249,1.1275300979614258,0.8546873927116394,,,
44,20299,0.9621288180351257,1.0518802404403687,,,
44,20349,0.9502375721931458,1.0018038749694824,,,
44,20399,0.9934536218643188,1.1970930099487305,,,
44,20449,0.8413641452789307,1.2661900520324707,,,
44,20499,0.9875407814979553,1.53065824508667,,,
44,20549,0.9411744475364685,1.1098923683166504,,,
44,20599,1.0658446550369263,1.0710740089416504,,,
44,20649,1.1713370084762573,0.750379204750061,,,
44,20699,0.9192161560058594,0.93462735414505,,,
44,20699,,,0.6817316841103711,1.2809014320373535,0.799683153629303
45,20749,1.0240761041641235,1.2819865942001343,,,
45,20799,0.9854732751846313,0.8922892212867737,,,
45,20849,1.208838701248169,0.6677111983299255,,,
45,20899,0.8333659172058105,1.3176871538162231,,,
45,20949,1.1565452814102173,1.0477291345596313,,,
45,20999,0.8999890089035034,0.8572788834571838,,,
45,21049,1.3246358633041382,1.0151461362838745,,,
45,21099,1.0231881141662598,0.9360040426254272,,,
45,21149,0.9746782183647156,0.8778815269470215,,,
45,21159,,,0.5900502922386842,1.3697155714035034,0.744289755821228
46,21199,0.9169705510139465,0.7926122546195984,,,
46,21249,1.185638427734375,0.7010241150856018,,,
46,21299,0.8656873106956482,1.0296655893325806,,,
46,21349,0.8199170231819153,1.099349856376648,,,
46,21399,1.1594420671463013,0.918671727180481,,,
46,21449,0.9770141243934631,0.8515453338623047,,,
46,21499,0.9068928956985474,0.7608580589294434,,,
46,21549,1.5993067026138306,0.8439778089523315,,,
46,21599,1.2133526802062988,0.9460791945457458,,,
46,21619,,,0.5528068506184586,1.3693584203720093,0.658502459526062
47,21649,0.9448491334915161,1.038076400756836,,,
47,21699,1.1160879135131836,0.8986546993255615,,,
47,21749,0.973813533782959,0.9322848916053772,,,
47,21799,1.037166714668274,1.0268079042434692,,,
47,21849,1.1458537578582764,0.9890162944793701,,,
47,21899,1.1351196765899658,0.9225149154663086,,,
47,21949,1.2269643545150757,0.7725037336349487,,,
47,21999,1.1011368036270142,0.9891725778579712,,,
47,22049,1.1842105388641357,1.196185827255249,,,
47,22079,,,0.6190023107244801,1.2990503311157227,0.8110188841819763
48,22099,0.8722423315048218,1.34800386428833,,,
48,22149,1.042431116104126,0.8163366317749023,,,
48,22199,0.7742077112197876,1.124403476715088,,,
48,22249,0.8528558015823364,1.1089191436767578,,,
48,22299,1.1626304388046265,1.1282334327697754,,,
48,22349,1.04478919506073,1.0144001245498657,,,
48,22399,1.132432460784912,0.86228346824646,,,
48,22449,0.9468382000923157,1.0204071998596191,,,
48,22499,1.176936149597168,1.1397669315338135,,,
48,22539,,,0.5515835258937066,1.3680375814437866,0.6782615780830383
49,22549,1.3680965900421143,0.8624228239059448,,,
49,22599,0.9753519892692566,0.7930387258529663,,,
49,22649,0.8997477293014526,1.292595386505127,,,
49,22699,1.3669013977050781,0.8961466550827026,,,
49,22749,1.0677831172943115,0.9123020172119141,,,
49,22799,0.9212135076522827,1.1991738080978394,,,
49,22849,0.894016683101654,1.4465043544769287,,,
49,22899,0.6848242282867432,1.3914384841918945,,,
49,22949,0.757943868637085,1.552757978439331,,,
49,22999,0.7833607196807861,1.0455474853515625,,,
49,22999,,,0.7205382628788909,1.2304431200027466,0.7163324356079102
50,23049,0.8390207290649414,1.08646559715271,,,
50,23099,0.8553775548934937,0.8412543535232544,,,
50,23149,1.060133457183838,0.9295024871826172,,,
50,23199,0.8768526911735535,1.0046159029006958,,,
50,23249,0.879920244216919,0.8040730953216553,,,
50,23299,1.0723650455474854,0.9313012361526489,,,
50,23349,0.8193692564964294,1.2228295803070068,,,
50,23399,0.9453491568565369,0.9990493059158325,,,
50,23449,0.9338897466659546,0.9355819821357727,,,
50,23459,,,0.6661003126274296,1.2115514278411865,0.857214093208313
51,23499,0.995539665222168,1.3735051155090332,,,
51,23549,1.070698618888855,1.1633086204528809,,,
